Количество объектов, единиц	Фактически использовано капитальных вложений за счет всех источников финансирования, тыс.рублей	
		"С начала строительства,
 всего"	"в том числе в 
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	4	16391,7	2128,9
			
Российская академия живописи, ваяния и зодчества Ильи Глазунова-424			
Всего	1	499310,1	171346,7
" в том числе:
    строительство продолжается"	1	499310,1	171346,7
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	1	499310,1	171346,7
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
Судебный департамент при Верховном Суде Российской Федерации-438			
Всего	32	30371200,3	5461514,1
" в том числе:
    строительство продолжается"	29	30353570,3	5450927,3
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	29	30353570,3	5450927,3
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	3	17630,0	10586,8
			
Национальный исследовательский центр "Курчатовский институт"-595			
Всего	13	23532852,1	4144914,7
" в том числе:
    строительство продолжается"	11	23171573,8	3783636,4
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	9	12626668,9	3748458,7
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	2	361278,3	361278,3
			
Государственный Эрмитаж-597			
Всего	2	2347127,7	156322,2
" в том числе:
    строительство продолжается"	1	2321651,9	156322,2
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	1	2321651,9	156322,2
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	1	25475,8	0,0
			
Государственная корпорация по атомной энергии "Росатом"-725			
Всего	25	216019246,6	40169010,2
" в том числе:
    строительство продолжается"	24	214444617,3	40169010,2
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	22	180888455,9	33476951,3
   временно приостановленные, законсервированные	1	1574629,3	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0
			
ППК "Единый заказчик"-727			
Всего	184	79803554,5	38634670,4
" в том числе:
    строительство продолжается"	89	67130077,8	38634670,4
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	84	63343734,5	38634670,4
   временно приостановленные, законсервированные	3	1294769,4	0,0
   окончательно прекращенные строительством	23	9243988,9	0,0
   строительство которых не начиналось	69	2134718,4	0,0
			
Минспорт России-777			
Всего	4	0,0	0,0
" в том числе:
    строительство продолжается"	4	0,0	0,0
"        из них на которые выделены лимиты бюджетных
        ассигнований в рамках ФАИП на отчетный год"	4	0,0	0,0
   временно приостановленные, законсервированные	0	0,0	0,0
   окончательно прекращенные строительством	0	0,0	0,0
   строительство которых не начиналось	0	0,0	0,0



Преобразуй этот текст в SQL код. Напиши так, чтобы создавалась таблица
